NIT                                             ,TERCERO          ,NOMBRE TERCERO                ,DIRECCION TERCERO                                           ,CUENTA                                   ,CTA       ,DESCRIPCION                   ,COMPROBANTE          ,FECHA     ,DETALLE                                 ,DOCUMENTO CRUCE  ,DEBITOS           ,CREDITOS          ,SALDO             ,SALDO TOTAL       
    890100251   3 CEMENTOS ARGOS S.A. (RIO CLARO,0000890100251 003,CEMENTOS ARGOS S.A. (RIO CLARO,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,23647505   AUTORRETENCION DEL CREE 1.6%  ,23647505  ,                              ,                     ,          ,                                        ,                 ,                  ,                  ,"(32,008.00)","(32,008.00)"
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,                              ,                     ,          ,                                        ,                 ,                  ,                  ,0.00 ,0.00 
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,F-002-00000009918-002,2015/01/14,CEMENTOS ARGOS S.A. (                   ,F-002-00000009918,"3,408,064.00 ",                  ,"3,408,064.00 ","3,408,064.00 "
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,R-001-00020150031-002,2015/01/28,CANCELA FACTURA                         ,F-002-00000009918,                  ,"3,408,064.00 ",0.00 ,"(3,408,064.00)"
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,F-002-00000009955-002,2015/02/13,CEMENTOS ARGOS S.A. (                   ,F-002-00000009955,"2,108,925.00 ",                  ,"2,108,925.00 ","2,108,925.00 "
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,R-001-00020150083-002,2015/02/19,CANCELA FACTURA                         ,F-002-00000009955,                  ,"2,108,925.00 ",0.00 ,"(2,108,925.00)"
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,F-002-00000010040-002,2015/04/13,CEMENTOS ARGOS S.A. (                   ,F-002-00000010040,"58,313,824.00 ",                  ,"58,313,824.00 ","58,313,824.00 "
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,R-001-00020150172-002,2015/04/15,ABONA FACTURA                           ,F-002-00000010040,                  ,"1,024,850.00 ","57,288,974.00 ","(1,024,850.00)"
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,R-001-00020150181-002,2015/04/17,CANCELA FACTURA                         ,F-002-00000010040,                  ,"57,288,974.00 ",0.00 ,"(57,288,974.00)"
    890100251   4 CEMENTOS ARGOS S.A. (SANGIL)  ,0000890100251 004,CEMENTOS ARGOS S.A. (SANGIL)  ,CARRERA 19 No. 12-32 VIA CALI-YUMBO                         ,13050500   NACIONALES                    ,13050500  ,NACIONALES                    ,F-002-00000010055-004,2015/04/27,CEMENTOS ARGOS S.A. (                   ,F-002-00000010055,"49,494,208.00 ",                  ,"49,494,208.00 ","49,494,208.00 "
